Car Model,warranty,Engine capacity,Horse Power,Maximum Speed,Acceleration,Speeds,Transmission Type,Year,Fuel,liter/100KM,Origin Country,Assembly Country,Length (mm),Width (mm),Height (mm),Ground Clearance,Wheel Base,Trunk Size,Seats,Traction Type,Number of cylinder,Fuel tank capacity,Torque of newton,Insurance Price,Register Price
BMW X1 2021 A/T / X-Line,"100000 Km /
2 Year(s)",1500 CC - Turbo,140,201,9.6,7 Speeds,automatic,Year 2021,95,6.3,Germany,Germany,4439,1821,1612,193,2670,505,5,Front Traction,3,51,220,"17,500 EGP","7,000 EGP"
BMW X1 2021 A/T / Sport,"100000 Km /
2 Year(s)",1500 CC - Turbo,140,201,9.6,7 Speeds,automatic,Year 2021,95,6.3,Germany,Germany,4439,1821,1612,193,2670,505,5,Four-wheel Drive,3,51,220,"20,000 EGP","8,000 EGP"
BMW 118 2022 A/T / Lci sport line,"100000 Km /
2 Year(s)",1500 CC - Turbo,136,210,8.7,8 Speeds,automatic,Year 2022,95,5.1,Germany,,4329,1765,1440,140,2690,360,5,Front Traction,3,52,220,"20,000 EGP","8,000 EGP"
BMW 118 2021 A/T / Sport Shadow,"100000 Km /
2 Year(s)",1500 CC - Turbo,136,210,8.7,8 Speeds,automatic,Year 2021,95,5.1,Germany,Germany,4329,1765,1440,140,2690,360,5,Front Traction,3,52,220,"16,250 EGP","6,500 EGP"
BMW 320 2022 A/T / Exclusive,"100000 Km /
2 Year(s)", 2000 CC - Turbo,184,235,7.2,8 Speeds,automatic,Year 2022,92,5.8,Germany,,4709,1827,1432,157,2851,480,5,Front Traction,4,59,300,"26,250 EGP","15,750 EGP"
BMW 320 2022 A/T / Luxury,"100000 Km /
2 Year(s)",2000 CC - Turbo,184,235,7.2,8 Speeds,automatic,Year 2022,92,5.8,Germany,,4709,1827,1432,157,2851,480,5,Front Traction,4,59,300,"28,750 EGP","17,250 EGP"
BMW 320 2021 A/T / Exclusive,"100000 Km /
2 Year(s)",2000 CC - Turbo,184,235,7.2,8 Speeds,automatic,Year 2021,92,5.8,Germany,Germany,4709,1827,1432,157,2851,480,5,Front Traction,4,59,300,"22,500 EGP","13,500 EGP"
BMW 320 2021 A/T / Luxury,"100000 Km /
2 Year(s)",2000 CC - Turbo,184,235,7.2,8 Speeds,automatic,Year 2021,92,5.8,Germany,Germany,4709,1827,1432,157,2851,480,5,Front Traction,4,59,300,"23,750 EGP","14,250 EGP"
BMW X1 2022 A/T / X-Line,"100000 Km /
2 Year(s)",1500 CC - Turbo,140,201,9.6,7 Speeds,automatic,Year 2022,95,6.3,Germany,,4439,1821,1612,193,2670,505,5,Front Traction,3,51,220,"22,500 EGP","9,000 EGP"
BMW X1 2022 A/T / Sport Line,"100000 Km /
2 Year(s)",1500 CC - Turbo,140,201,9.6,7 Speeds,automatic,Year 2022,95,6.3,Germany,,4439,1821,1612,193,2670,505,5,Four-wheel Drive,3,51,220,"25,000 EGP","10,000 EGP"
BMW X1 2021 A/T / X-Line,"100000 Km /
2 Year(s)",1500 CC - Turbo,140,201,9.6,7 Speeds,automatic,Year 2021,95,6.3,Germany,Germany,4439,1821,1612,193,2670,505,5,Front Traction,3,51,220,"17,500 EGP","7,000 EGP"
BMW X1 2021 A/T / Sport,"100000 Km /
2 Year(s)",1500 CC - Turbo,140,201,9.6,7 Speeds,automatic,Year 2021,95,6.3,Germany,Germany,4439,1821,1612,193,2670,505,5,Four-wheel Drive,3,51,220,"20,000 EGP","8,000 EGP"
BMW 320 2022 A/T / Exclusive,"100000 Km /
2 Year(s)",2000 CC - Turbo,184,235,7.2,8 Speeds,automatic,Year 2022,92,5.8,Germany,,4709,1827,1432,157,2851,480,5,Front Traction,4,59,300,"26,250 EGP","15,750 EGP"
BMW 320 2022 A/T / Luxury,"100000 Km /
2 Year(s)",2000 CC - Turbo,184,235,7.2,8 Speeds,automatic,Year 2022,92,5.8,Germany,,4709,1827,1432,157,2851,480,5,Front Traction,4,59,300,"28,750 EGP","17,250 EGP"
BMW 320 2021 A/T / Exclusive,"100000 Km /
2 Year(s)",2000 CC - Turbo,184,235,7.2,8 Speeds,automatic,Year 2021,92,5.8,Germany,Germany,4709,1827,1432,157,2851,480,5,Front Traction,4,59,300,"22,500 EGP","13,500 EGP"
BMW 320 2021 A/T / Luxury,"100000 Km /
2 Year(s)",2000 CC - Turbo,184,235,7.2,8 Speeds,automatic,Year 2021,92,5.8,Germany,Germany,4709,1827,1432,157,2851,480,5,Front Traction,4,59,300,"23,750 EGP","14,250 EGP"
BMW 520 2022 A/T / Luxury Line,"100000 Km /
2 Year(s)",1600 CC - Turbo,170,226,8.3,8 Speeds,automatic,Year 2022,95,6,Germany,,4936,1868,1478,145,2975,530,5,Back Traction,4,68,250,"35,000 EGP","14,000 EGP"
BMW 520 2021 A/T / Luxury Line,"100000 Km /
2 Year(s)",1600 CC - Turbo,170,226,8.3,8 Speeds,automatic,Year 2021,95,6,Germany,Germany,4936,1868,1478,145,2975,530,5,Back Traction,4,68,250,"30,000 EGP","12,000 EGP"
BMW X3 2022 A/T / xDrive30i,"100000 Km /
2 Year(s)", 2000 CC - Turbo,252,240,6.3,8 Speeds,automatic,Year 2022,95,7.2,Germany,,4708,1891,1676,,2864,550,5,Four-wheel Drive,4,65,350,"41,250 EGP","24,750 EGP"
BMW X3 2022 A/T / M Performance,"100000 Km /
2 Year(s)",3000 CC - Turbo,360,250,4.8,8 Speeds,automatic,Year 2022,95,8.2,Germany,,4716,1897,1676,204,2864,550,5,Four-wheel Drive,6,65,500,"48,750 EGP","48,750 EGP"
BMW X4 2022 A/T / xDrive X30I M,"100000 Km /
2 Year(s)",2000 CC - Turbo,252,210,6.3,8 Speeds,automatic,Year 2022,92,7.6,Germany,,4752,1918,1621,204,2864,550,5,Four-wheel Drive,4,65,350,"46,250 EGP","27,750 EGP"
BMW X4 2021 A/T / xDrive,"100000 Km /
2 Year(s)",2000 CC - Turbo,252,210,6.3,8 Speeds,automatic,Year 2021,92,7.6,Germany,Germany,4752,1918,1621,204,2864,550,5,Four-wheel Drive,4,65,350,"37,500 EGP","22,500 EGP"
BMW X3 2022 A/T / xDrive30i,"100000 Km /
2 Year(s)",2000 CC - Turbo,252,240,6.3,8 Speeds,automatic,Year 2022,95,7.2,Germany,,4708,1891,1676,,2864,550,5,Four-wheel Drive,4,65,350,"41,250 EGP","24,750 EGP"
BMW X3 2022 A/T / M Performance,"100000 Km /
2 Year(s)",3000 CC - Turbo,360,250,4.8,8 Speeds,automatic,Year 2022,95,8.2,Germany,,4716,1897,1676,204,2864,550,5,Four-wheel Drive,6,65,500,"48,750 EGP","48,750 EGP"
BMW X4 2022 A/T / xDrive X30I M,"100000 Km /
2 Year(s)",2000 CC - Turbo,252,210,6.3,8 Speeds,automatic,Year 2022,92,7.6,Germany,,4752,1918,1621,204,2864,550,5,Four-wheel Drive,4,65,350,"46,250 EGP","27,750 EGP"
BMW X4 2021 A/T / xDrive,"100000 Km /
2 Year(s)",2000 CC - Turbo,252,210,6.3,8 Speeds,automatic,Year 2021,92,7.6,Germany,Germany,4752,1918,1621,204,2864,550,5,Four-wheel Drive,4,65,350,"37,500 EGP","22,500 EGP"
BMW X5 2022 A/T / xDrive M40i,"100000 Km /
2 Year(s)",3000 CC - Turbo,340,243,5.5,8 Speeds,automatic,Year 2022,92,9.2,Germany,,4922,2004,1745,209,2975,650,5,Four-wheel Drive,6,83,450,"58,750 EGP","58,750 EGP"
BMW X5 2022 A/T / XDrive M50i,"100000 Km /
2 Year(s)",4400 CC - Turbo,530,250,4.3,8 Speeds,automatic,Year 2022,92,,Germany,,4922,2004,1745,214,2975,645,5,Four-wheel Drive,8,83,750,"68,750 EGP","68,750 EGP"
BMW 730 2022 Automtic / lci,"100000 Km /
2 Year(s)",2000 CC - Turbo,265,250,7.2,8 Speeds,automatic,Year 2022,92,6.2,Germany,,5219,1902,1481,152,3210,515,4,Back Traction,4,78,400,"58,750 EGP","35,250 EGP"
BMW 730 2021 Automtic,"100000 Km /
2 Year(s)",2000 CC - Turbo,265,250,7.2,8 Speeds,automatic,Year 2021,92,6.2,Germany,Germany,5219,1902,1481,152,3210,515,4,Back Traction,4,78,400,"48,750 EGP","29,250 EGP"
BMW X5 2022 A/T / xDrive M40i,"100000 Km /
2 Year(s)",3000 CC - Turbo,340,243,5.5,8 Speeds,automatic,Year 2022,92,9.2,Germany,,4922,2004,1745,209,2975,650,5,Four-wheel Drive,6,83,450,"58,750 EGP","58,750 EGP"
BMW X5 2022 A/T / XDrive M50i,"100000 Km /
2 Year(s)",4400 CC - Turbo,530,250,4.3,8 Speeds,automatic,Year 2022,92,,Germany,,4922,2004,1745,214,2975,645,5,Four-wheel Drive,8,83,750,"68,750 EGP","68,750 EGP"
BMW X6 2022 A/T / M50I Performance,"100000 Km /
2 Year(s)",4400 CC - Turbo,530,250,4.3,8 Speeds,automatic,Year 2022,95,10.4,Germany,,4935,2004,1696,216,2975,580,5,Four-wheel Drive,8,83,750,"75,000 EGP","75,000 EGP"
BMW X6 2021 A/T / M Performance,"100000 Km /
2 Year(s)",4400 CC - Turbo,530,250,4.3,8 Speeds,automatic,Year 2021,95,10.4,Germany,Egypt,4935,2004,1696,216,2975,580,5,Four-wheel Drive,8,83,750,"62,500 EGP","62,500 EGP"
BMW X7 2022 A/T / M50I Performance,"100000 Km /
2 Year(s)",4400 CC - Turbo,530,250,4.7,8 Speeds,automatic,Year 2022,95,10.9,Germany,,5151,2000,1805,220,3105,,7,Four-wheel Drive,5,,750,"87,500 EGP","87,500 EGP"
BMW X7 2021 A/T / M Performance,"100000 Km /
2 Year(s)",4400 CC - Turbo,530,250,4.7,8 Speeds,automatic,Year 2021,95,10.9,Germany,Germany,5151,2000,1805,220,3105,,7,Four-wheel Drive,5,,750,"72,500 EGP","72,500 EGP"
BMW X6 2022 A/T / M50I Performance,"100000 Km /
2 Year(s)",4400 CC - Turbo,530,250,4.3,8 Speeds,automatic,Year 2022,95,10.4,Germany,,4935,2004,1696,216,2975,580,5,Four-wheel Drive,8,83,750,"75,000 EGP","75,000 EGP"
BMW X6 2021 A/T / M Performance,"100000 Km /
2 Year(s)",4400 CC - Turbo,530,250,4.3,8 Speeds,automatic,Year 2021,95,10.4,Germany,Egypt,4935,2004,1696,216,2975,580,5,Four-wheel Drive,8,83,750,"62,500 EGP","62,500 EGP"
BMW X7 2022 A/T / M50I Performance,"100000 Km /
2 Year(s)",4400 CC - Turbo,530,250,4.7,8 Speeds,automatic,Year 2022,95,10.9,Germany,,5151,2000,1805,220,3105,,7,Four-wheel Drive,5,,750,"87,500 EGP","87,500 EGP"
BMW X7 2021 A/T / M Performance,"100000 Km /
2 Year(s)",4400 CC - Turbo,530,250,4.7,8 Speeds,automatic,Year 2021,95,10.9,Germany,Germany,5151,2000,1805,220,3105,,7,Four-wheel Drive,5,,750,"72,500 EGP","72,500 EGP"
Mitsubishi Xpander 2023 Automatic / Midline,"100000 Km /
3 Year(s)",1500 CC,104,170,13.8,4 Speeds,automatic,Year 2023,92,5,Japan,,4475,1750,1700,170,2775,,7,Front Traction,4,45,141,"13,250 EGP","5,300 EGP"
Mitsubishi Xpander 2023 Automatic / HL,"100000 Km /
3 Year(s)",1500 CC,104,170,13.8,4 Speeds,automatic,Year 2023,92,5,Japan,,4475,1750,1700,170,2775,,7,Front Traction,4,45,141,"14,000 EGP","5,600 EGP"
Mitsubishi Xpander 2022 Automatic / Midline,"100000 Km /
3 Year(s)",1500 CC,104,170,13.8,4 Speeds,automatic,Year 2022,92,5,Japan,Japan,4475,1750,1700,170,2775,,7,Front Traction,4,45,141,"12,000 EGP","4,800 EGP"
Mitsubishi Xpander 2022 Automatic / HL,"100000 Km /
3 Year(s)",1500 CC,104,170,13.8,4 Speeds,automatic,Year 2022,92,5,Japan,Japan,4475,1750,1700,170,2775,,7,Front Traction,4,45,141,"12,625 EGP","5,050 EGP"
Mitsubishi Xpander 2021 Automatic / Midline+,"100000 Km /
3 Year(s)",1500 CC,104,170,13.8,6 Speeds,automatic,Year 2021,92,5,Japan,Japan,4475,1750,1700,170,2775,,7,Front Traction,4,45,141,"7,750 EGP","3,100 EGP"
Mitsubishi Attrage 2023 A/T / Highline,"100000 Km /
3 Year(s)",1200 CC,76,,,,CVT,Year 2023,92,,Japan,,4305,1670,1515,170,,,5,Front Traction,3,,100,"8,750 EGP","3,500 EGP"
Mitsubishi Mirage 2023 A/T / Highline,"100000 Km /
3 Year(s)",1200 CC,76,,,,CVT,Year 2023,92,,Japan,,,,,,,,5,Front Traction,3,,100,"9,125 EGP","3,650 EGP"
Mitsubishi Eclipse Cross 2023 A/T / Insport GLX,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,,8.6,8 Speeds,CVT,Year 2023,92,,Japan,,4545,1805,1685,180,2670,,5,Front Traction,4,63,250,"15,750 EGP","6,300 EGP"
Mitsubishi Eclipse Cross 2023 A/T / Inspire GLS,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,,8.6,8 Speeds,CVT,Year 2023,92,,Japan,,4545,1805,1685,180,2670,,5,Front Traction,4,63,250,"17,250 EGP","6,900 EGP"
Mitsubishi Eclipse Cross 2023 A/T / Instyle GLS,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,,8.6,8 Speeds,CVT,Year 2023,92,,Japan,,4545,1805,1685,180,2670,,5,Front Traction,4,63,250,"18,250 EGP","7,300 EGP"
Mitsubishi Eclipse Cross 2023 A/T / GLX 4WD,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,,8.6,8 Speeds,CVT,Year 2023,92,,Japan,,4545,1805,1685,180,2670,,5,Front Traction,4,63,250,"19,250 EGP","7,700 EGP"
Mitsubishi Eclipse Cross 2021 Automtic / GLX MIDLINE,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,200,9.3,8 Speeds,CVT,Year 2021,92,6.7,Japan,Japan,4405,1805,1685,180,2670,378,5,Front Traction,4,63,250,"9,625 EGP","3,850 EGP"
Mitsubishi Eclipse Cross 2021 Automtic / GLS MIDLINE,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,200,9.3,8 Speeds,CVT,Year 2021,92,6.7,Japan,Japan,4405,1805,1685,180,2670,378,5,Front Traction,4,63,250,"10,500 EGP","4,200 EGP"
Mitsubishi Eclipse Cross 2021 A/T / Insport,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,200,9.3,8 Speeds,CVT,Year 2021,92,6.7,Japan,Japan,4405,1805,1685,180,2670,378,5,Front Traction,4,63,250,"10,875 EGP","4,350 EGP"
Mitsubishi Eclipse Cross 2021 A/T / Highline,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,200,9.3,8 Speeds,CVT,Year 2021,92,6.7,Japan,Japan,4405,1805,1685,180,2670,378,5,Front Traction,4,63,250,"11,250 EGP","4,500 EGP"
Mitsubishi Eclipse Cross 2021 A/T / Instyle,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,200,9.3,8 Speeds,CVT,Year 2021,92,6.7,Japan,Japan,4405,1805,1685,180,2670,378,5,Front Traction,4,63,250,"11,625 EGP","4,650 EGP"
Mitsubishi Eclipse Cross 2021 A/T / Top Line,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,200,9.3,8 Speeds,CVT,Year 2021,92,6.7,Japan,Japan,4405,1805,1685,180,2670,378,5,Front Traction,4,63,250,"12,000 EGP","4,800 EGP"
Mitsubishi Eclipse Cross 2021 A/T / Premium,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,200,9.3,8 Speeds,CVT,Year 2021,92,6.7,Japan,Japan,4405,1805,1685,180,2670,378,5,Four-wheel Drive,4,60,250,"12,625 EGP","5,050 EGP"
Mitsubishi Xpander 2023 Automatic / Midline,"100000 Km /
3 Year(s)",1500 CC,104,170,13.8,4 Speeds,automatic,Year 2023,92,5,Japan,,4475,1750,1700,170,2775,,7,Front Traction,4,45,141,"13,250 EGP","5,300 EGP"
Mitsubishi Xpander 2023 Automatic / HL,"100000 Km /
3 Year(s)",1500 CC,104,170,13.8,4 Speeds,automatic,Year 2023,92,5,Japan,,4475,1750,1700,170,2775,,7,Front Traction,4,45,141,"14,000 EGP","5,600 EGP"
Mitsubishi Xpander 2022 Automatic / Midline,"100000 Km /
3 Year(s)",1500 CC,104,170,13.8,4 Speeds,automatic,Year 2022,92,5,Japan,Japan,4475,1750,1700,170,2775,,7,Front Traction,4,45,141,"12,000 EGP","4,800 EGP"
Mitsubishi Xpander 2022 Automatic / HL,"100000 Km /
3 Year(s)",1500 CC,104,170,13.8,4 Speeds,automatic,Year 2022,92,5,Japan,Japan,4475,1750,1700,170,2775,,7,Front Traction,4,45,141,"12,625 EGP","5,050 EGP"
Mitsubishi Xpander 2021 Automatic / Midline+,"100000 Km /
3 Year(s)",1500 CC,104,170,13.8,6 Speeds,automatic,Year 2021,92,5,Japan,Japan,4475,1750,1700,170,2775,,7,Front Traction,4,45,141,"7,750 EGP","3,100 EGP"
Mitsubishi Eclipse Cross 2022 A/T / Insport GLX,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,,8.6,8 Speeds,CVT,Year 2022,92,,Japan,Japan,4545,1805,1685,180,2670,,5,Front Traction,4,63,250,"14,500 EGP","5,800 EGP"
Mitsubishi Eclipse Cross 2022 A/T / Inspire GLS,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,,8.6,8 Speeds,CVT,Year 2022,92,,Japan,Japan,4545,1805,1685,180,2670,,5,Front Traction,4,63,250,"15,750 EGP","6,300 EGP"
Mitsubishi Eclipse Cross 2022 A/T / Instyle GLS,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,,8.6,8 Speeds,CVT,Year 2022,92,,Japan,Japan,4545,1805,1685,180,2670,,5,Front Traction,4,63,250,"16,750 EGP","6,700 EGP"
Mitsubishi Eclipse Cross 2022 A/T / Infinity GLS,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,,8.6,8 Speeds,CVT,Year 2022,92,,Japan,Japan,4545,1805,1685,180,2670,,5,Front Traction,4,63,250,"17,750 EGP","7,100 EGP"
Mitsubishi Eclipse Cross 2023 A/T / Insport GLX,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,,8.6,8 Speeds,CVT,Year 2023,92,,Japan,,4545,1805,1685,180,2670,,5,Front Traction,4,63,250,"15,750 EGP","6,300 EGP"
Mitsubishi Eclipse Cross 2023 A/T / Inspire GLS,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,,8.6,8 Speeds,CVT,Year 2023,92,,Japan,,4545,1805,1685,180,2670,,5,Front Traction,4,63,250,"17,250 EGP","6,900 EGP"
Mitsubishi Eclipse Cross 2023 A/T / Instyle GLS,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,,8.6,8 Speeds,CVT,Year 2023,92,,Japan,,4545,1805,1685,180,2670,,5,Front Traction,4,63,250,"18,250 EGP","7,300 EGP"
Mitsubishi Eclipse Cross 2023 A/T / GLX 4WD,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,,8.6,8 Speeds,CVT,Year 2023,92,,Japan,,4545,1805,1685,180,2670,,5,Front Traction,4,63,250,"19,250 EGP","7,700 EGP"
Mitsubishi Eclipse Cross 2021 Automtic / GLX MIDLINE,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,200,9.3,8 Speeds,CVT,Year 2021,92,6.7,Japan,Japan,4405,1805,1685,180,2670,378,5,Front Traction,4,63,250,"9,625 EGP","3,850 EGP"
Mitsubishi Eclipse Cross 2021 Automtic / GLS MIDLINE,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,200,9.3,8 Speeds,CVT,Year 2021,92,6.7,Japan,Japan,4405,1805,1685,180,2670,378,5,Front Traction,4,63,250,"10,500 EGP","4,200 EGP"
Mitsubishi Eclipse Cross 2021 A/T / Insport,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,200,9.3,8 Speeds,CVT,Year 2021,92,6.7,Japan,Japan,4405,1805,1685,180,2670,378,5,Front Traction,4,63,250,"10,875 EGP","4,350 EGP"
Mitsubishi Eclipse Cross 2021 A/T / Highline,"100000 Km /
3 Year(s)",1500 CC - Turbo,150,200,9.3,8 Speeds,CVT,Year 2021,92,6.7,Japan,Japan,4405,1805,1685,180,2670,378,5,Front Traction,4,63,250,"11,250 EGP","4,500 EGP"
